assessmentId,internalTaxonId,scientificName,code,name,stressCode,stressName,ancestry,ias,internationalTrade,scope,severity,text,timing,virus
519491,137074,Paraphytus africanus,5.3.5,Motivation Unknown/Unrecorded,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Ongoing,Unknown
519491,137074,Paraphytus africanus,2.1.4,Scale Unknown/Unrecorded,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Ongoing,Unknown
521021,137173,Onthophagus lacustris,5.3.5,Motivation Unknown/Unrecorded,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
523214,137323,Copris amabilis,5.1.2,Unintentional effects (species is not the target),2.3.8,Other,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Ongoing,Unknown
523970,137365,Oniticellus pseudoplanatus,5.1.4,Motivation Unknown/Unrecorded,2.3.8,Other,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Ongoing,Unknown
523970,137365,Oniticellus pseudoplanatus,5.3.5,Motivation Unknown/Unrecorded,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Ongoing,Unknown
525429,137459,Onitis nemoralis,5.3.5,Motivation Unknown/Unrecorded,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Ongoing,Unknown
525429,137459,Onitis nemoralis,5.1.2,Unintentional effects (species is not the target),2.3.8,Other,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Ongoing,Unknown
531807,137834,Garreta azureus,5.3.5,Motivation Unknown/Unrecorded,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Ongoing,Unknown
538954,138273,Euoniticellus kawanus,5.1.2,Unintentional effects (species is not the target),2.3.8,Other,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Ongoing,Unknown
538982,138275,Copris complexus,5.3.5,Motivation Unknown/Unrecorded,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Ongoing,Unknown
538982,138275,Copris complexus,5.1.2,Unintentional effects (species is not the target),2.3.8,Other,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Ongoing,Unknown
539306,138299,Copris armiger,2.1.3,Agro-industry farming,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Ongoing,Unknown
539306,138299,Copris armiger,5.1.2,Unintentional effects (species is not the target),2.3.8,Other,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Ongoing,Unknown
539728,138325,Onitis adelphus,5.3.5,Motivation Unknown/Unrecorded,1.1|1.2,Ecosystem conversion|Ecosystem degradation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Ongoing,Unknown
