assessmentId,internalTaxonId,scientificName,code,name,note
521021,137173,Onthophagus lacustris,1.1,Site/area protection,N/A
523970,137365,Oniticellus pseudoplanatus,1.1,Site/area protection,N/A
525429,137459,Onitis nemoralis,1.2,Resource & habitat protection,N/A
525429,137459,Onitis nemoralis,1.1,Site/area protection,N/A
538982,138275,Copris complexus,1.1,Site/area protection,N/A
747133,157273,Chamaeleo africanus,5.1.2,National level,N/A
901031,162346,Aldrovanda vesiculosa,1.2,Resource & habitat protection,N/A
1009393,163448,Cycloderma aubryi,2.1,Site/area management,N/A
1009393,163448,Cycloderma aubryi,5.4.3,Sub-national level,N/A
1009393,163448,Cycloderma aubryi,5.4.2,National level,N/A
1009393,163448,Cycloderma aubryi,5.1.2,National level,N/A
1009393,163448,Cycloderma aubryi,5.1.1,International level,N/A
1009393,163448,Cycloderma aubryi,4.3,Awareness & communications,N/A
1009393,163448,Cycloderma aubryi,3.1.2,Trade management,N/A
1009393,163448,Cycloderma aubryi,3.1.1,Harvest management,N/A
1344969,172546,Kinyongia xenorhina,3.1.1,Harvest management,"Given that this species is popular in the pet trade, monitoring and non-detriment findings should be conducted."
1344969,172546,Kinyongia xenorhina,4.3,Awareness & communications,An awareness that wild populations could be impacted by harvesting for pet traded should be raised.
1344969,172546,Kinyongia xenorhina,1.2,Resource & habitat protection,Improved protection needed to reduce harvesting of non-timber forest products.
1345148,172553,Trioceros wiedersheimi,3.1.2,Trade management,N/A
1345148,172553,Trioceros wiedersheimi,1.1,Site/area protection,N/A
1345148,172553,Trioceros wiedersheimi,1.2,Resource & habitat protection,N/A
1345274,172554,Kinyongia carpenteri,4.3,Awareness & communications,"An awareness that wild populations could be impacted by harvesting for pet traded should be raised. In addition, chameleons are locally persecuted and this should be discouraged. "
1345274,172554,Kinyongia carpenteri,2.1,Site/area management,"The distribution of this species at present is mainly within a Protected Area, and this area should be maintained into the future to ensure that habitat is available for the long-term survival of this species. "
1345274,172554,Kinyongia carpenteri,3.1.1,Harvest management,"Given that this species is potentially popular for pet trade, monitoring and non-detriment findings should be conducted."
1345774,172571,Trioceros quadricornis,2.1,Site/area management,Ensure that further encroachment of protected and gazetted forests does not occur.
1345774,172571,Trioceros quadricornis,3.1.1,Harvest management,"Listed as a Class A species under Cameroonian law, affording them full protection and prohibiting them from being slaughtered or captured, except under special permit for scientific research, land/building development, or the protection of persons or their property. The species is still harvested and exported, however, suggesting that collection for the international pet trade should be brought in line with national legislation."
1345774,172571,Trioceros quadricornis,1.1,Site/area protection,Additional protected areas would benefit this species across its range.
