assessmentId,internalTaxonId,scientificName,code,name,presence,origin,seasonality,formerlyBred
519491,137074,Paraphytus africanus,CD,"Congo, The Democratic Republic of the",Presence Uncertain,Native,"""Resident""",Unknown
520806,137161,Eodrepanus fastiditus,CD,"Congo, The Democratic Republic of the",Extant,Native,"""Resident""",Unknown
521021,137173,Onthophagus lacustris,CD,"Congo, The Democratic Republic of the",Presence Uncertain,Native,"""Resident""",Unknown
521177,137186,Onthophagus pugionatus,CD,"Congo, The Democratic Republic of the",Extant,Native,"""Resident""",Unknown
522595,137281,Pedaria ovata,CD,"Congo, The Democratic Republic of the",Extant,Native,"""Resident""",Unknown
522595,137281,Pedaria ovata,CM,Cameroon,Extant,Native,"""Resident""",Unknown
522595,137281,Pedaria ovata,GA,Gabon,Extant,Native,"""Resident""",Unknown
523214,137323,Copris amabilis,CD,"Congo, The Democratic Republic of the",Extant,Native,"""Resident""",Unknown
523297,137327,Pedaria morettoi,GA,Gabon,Extant,Native,"""Resident""",Unknown
523297,137327,Pedaria morettoi,CD,"Congo, The Democratic Republic of the",Extant,Native,"""Resident""",Unknown
523297,137327,Pedaria morettoi,CG,Congo,Extant,Native,"""Resident""",Unknown
523297,137327,Pedaria morettoi,CF,Central African Republic,Extant,Native,"""Resident""",Unknown
523297,137327,Pedaria morettoi,CM,Cameroon,Extant,Native,"""Resident""",Unknown
523970,137365,Oniticellus pseudoplanatus,GA,Gabon,Extant,Native,"""Resident""",Unknown
524054,137371,Pedaria spinithorax,CD,"Congo, The Democratic Republic of the",Extant,Native,"""Resident""",Unknown
524054,137371,Pedaria spinithorax,CM,Cameroon,Extant,Native,"""Resident""",Unknown
524520,137398,Catharsius pandion,CD,"Congo, The Democratic Republic of the",Presence Uncertain,Native,"""Resident""",Unknown
525429,137459,Onitis nemoralis,CD,"Congo, The Democratic Republic of the",Extant,Native,"""Resident""",Unknown
527143,137564,Copris wiesei,CD,"Congo, The Democratic Republic of the",Extant,Native,"""Resident""",Unknown
529469,137702,Onthophagus quadricuspis,CD,"Congo, The Democratic Republic of the",Extant,Native,"""Resident""",Unknown
531807,137834,Garreta azureus,CD,"Congo, The Democratic Republic of the",Extant,Native,"""Resident""",Unknown
531807,137834,Garreta azureus,CM,Cameroon,Extant,Native,"""Resident""",Unknown
534869,138020,Pedaria tenebrosa,CD,"Congo, The Democratic Republic of the",Extant,Native,"""Resident""",Unknown
537585,138188,Pedaria hanae,CD,"Congo, The Democratic Republic of the",Extant,Native,"""Resident""",Unknown
538954,138273,Euoniticellus kawanus,CD,"Congo, The Democratic Republic of the",Extant,Native,"""Resident""",Unknown
538982,138275,Copris complexus,CD,"Congo, The Democratic Republic of the",Extant,Native,"""Resident""",Unknown
538982,138275,Copris complexus,CM,Cameroon,Extant,Native,"""Resident""",Unknown
539306,138299,Copris armiger,CD,"Congo, The Democratic Republic of the",Extant,Native,"""Resident""",Unknown
539728,138325,Onitis adelphus,CD,"Congo, The Democratic Republic of the",Extant,Native,"""Resident""",Unknown
541030,138406,Diastellopalpus infernalis,CD,"Congo, The Democratic Republic of the",Extant,Native,"""Resident""",Unknown
543059,138519,Pedaria decorsei,CM,Cameroon,Extant,Native,"""Resident""",Unknown
543059,138519,Pedaria decorsei,CF,Central African Republic,Extant,Native,"""Resident""",Unknown
543059,138519,Pedaria decorsei,CD,"Congo, The Democratic Republic of the",Extant,Native,"""Resident""",Unknown
747133,157273,Chamaeleo africanus,CM,Cameroon,Extant,Native,Unknown,Unknown
747133,157273,Chamaeleo africanus,GA,Gabon,Extant,Native,Unknown,Unknown
747133,157273,Chamaeleo africanus,CF,Central African Republic,Extant,Native,"""Resident""",Unknown
901031,162346,Aldrovanda vesiculosa,CM,Cameroon,Extinct Post-1500,Native,"""Resident""",Unknown
1009393,163448,Cycloderma aubryi,CD,"Congo, The Democratic Republic of the",Extant,Native,"""Resident""",Unknown
1009393,163448,Cycloderma aubryi,GA,Gabon,Extant,Native,"""Resident""",Unknown
1009393,163448,Cycloderma aubryi,CF,Central African Republic,Extant,Native,"""Resident""",Unknown
1009393,163448,Cycloderma aubryi,CG,Congo,Extant,Native,"""Resident""",Unknown
1009393,163448,Cycloderma aubryi,CM,Cameroon,Presence Uncertain,Native,"""Resident""",Unknown
1029195,164189,Potamogeton perfoliatus,CM,Cameroon,Extant,Native,"""Resident""",Unknown
1029195,164189,Potamogeton perfoliatus,CG,Congo,Extant,Native,"""Resident""",Unknown
1036377,164272,Brachiaria mutica,CM,Cameroon,Extant,Native,"""Resident""",Unknown
1036377,164272,Brachiaria mutica,CD,"Congo, The Democratic Republic of the",Extant,Native,"""Resident""",Unknown
1036377,164272,Brachiaria mutica,GQ,Equatorial Guinea,Extant,Native,"""Resident""",Unknown
1036377,164272,Brachiaria mutica,GA,Gabon,Extant,Native,"""Resident""",Unknown
1044291,164347,Epilobium hirsutum,CD,"Congo, The Democratic Republic of the",Extant,Native,"""Resident""",Unknown
1047208,164380,Echinochloa colona,CM,Cameroon,Extant,Native,"""Resident""",Unknown
1047208,164380,Echinochloa colona,CG,Congo,Extant,Native,"""Resident""",Unknown
1047208,164380,Echinochloa colona,CD,"Congo, The Democratic Republic of the",Extant,Native,"""Resident""",Unknown
1047208,164380,Echinochloa colona,GA,Gabon,Extant,Native,"""Resident""",Unknown
1053206,164478,Echinochloa pyramidalis,GA,Gabon,Extant,Native,"""Resident""",Unknown
