assessmentId,internalTaxonId,scientificName,code,name,majorImportance,season,suitability
519491,137074,Paraphytus africanus,1.6,Forest - Subtropical / Tropical Moist Lowland,Unknown,resident,Suitable
520806,137161,Eodrepanus fastiditus,1.5,Forest - Subtropical / Tropical Dry,Unknown,resident,Unknown
521021,137173,Onthophagus lacustris,1.5,Forest - Subtropical / Tropical Dry,Unknown,resident,Suitable
521177,137186,Onthophagus pugionatus,1.5,Forest - Subtropical / Tropical Dry,Unknown,resident,Suitable
522595,137281,Pedaria ovata,1.6,Forest - Subtropical / Tropical Moist Lowland,Unknown,resident,Suitable
523214,137323,Copris amabilis,1.6,Forest - Subtropical / Tropical Moist Lowland,Yes,resident,Suitable
523297,137327,Pedaria morettoi,1.6,Forest - Subtropical / Tropical Moist Lowland,Unknown,resident,Suitable
523297,137327,Pedaria morettoi,1.5,Forest - Subtropical / Tropical Dry,Unknown,resident,Suitable
523970,137365,Oniticellus pseudoplanatus,1.6,Forest - Subtropical / Tropical Moist Lowland,Yes,resident,Suitable
524054,137371,Pedaria spinithorax,1.6,Forest - Subtropical / Tropical Moist Lowland,Unknown,resident,Suitable
524520,137398,Catharsius pandion,1.5,Forest - Subtropical / Tropical Dry,Unknown,resident,Unknown
524520,137398,Catharsius pandion,1.6,Forest - Subtropical / Tropical Moist Lowland,Unknown,resident,Unknown
525429,137459,Onitis nemoralis,1.6,Forest - Subtropical / Tropical Moist Lowland,Yes,resident,Suitable
527143,137564,Copris wiesei,1.9,Forest - Subtropical / Tropical Moist Montane,Unknown,resident,Unknown
529469,137702,Onthophagus quadricuspis,1.6,Forest - Subtropical / Tropical Moist Lowland,Unknown,resident,Unknown
531807,137834,Garreta azureus,1.6,Forest - Subtropical / Tropical Moist Lowland,Yes,resident,Suitable
534869,138020,Pedaria tenebrosa,1.6,Forest - Subtropical / Tropical Moist Lowland,Unknown,resident,Suitable
534869,138020,Pedaria tenebrosa,1.5,Forest - Subtropical / Tropical Dry,Unknown,resident,Suitable
537585,138188,Pedaria hanae,1.6,Forest - Subtropical / Tropical Moist Lowland,Unknown,resident,Suitable
538954,138273,Euoniticellus kawanus,1.5,Forest - Subtropical / Tropical Dry,Unknown,resident,Unknown
538982,138275,Copris complexus,1.6,Forest - Subtropical / Tropical Moist Lowland,Unknown,resident,Unknown
538982,138275,Copris complexus,1.9,Forest - Subtropical / Tropical Moist Montane,Unknown,resident,Unknown
539306,138299,Copris armiger,1.9,Forest - Subtropical / Tropical Moist Montane,Unknown,resident,Unknown
539728,138325,Onitis adelphus,1.9,Forest - Subtropical / Tropical Moist Montane,Yes,resident,Suitable
541030,138406,Diastellopalpus infernalis,1.6,Forest - Subtropical / Tropical Moist Lowland,Yes,resident,Suitable
543059,138519,Pedaria decorsei,1.6,Forest - Subtropical / Tropical Moist Lowland,Unknown,resident,Suitable
543059,138519,Pedaria decorsei,1.5,Forest - Subtropical / Tropical Dry,Unknown,resident,Suitable
747133,157273,Chamaeleo africanus,5.9,Wetlands (inland) - Freshwater Springs and Oases,Unknown,Unknown,Suitable
901031,162346,Aldrovanda vesiculosa,5.7,Wetlands (inland) - Permanent Freshwater Marshes / Pools (under 8ha),No,Unknown,Suitable
901031,162346,Aldrovanda vesiculosa,5.4,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",No,Unknown,Suitable
901031,162346,Aldrovanda vesiculosa,5.8,Wetlands (inland) - Seasonal / Intermittent Freshwater Marshes / Pools (under 8ha),Unknown,Unknown,Marginal
901031,162346,Aldrovanda vesiculosa,5.9,Wetlands (inland) - Freshwater Springs and Oases,No,Unknown,Suitable
901031,162346,Aldrovanda vesiculosa,5.6,Wetlands (inland) - Seasonal / Intermittent Freshwater Lakes (over 8ha),Unknown,Unknown,Marginal
901031,162346,Aldrovanda vesiculosa,5.1,Wetlands (inland) - Permanent Rivers / Streams / Creeks (includes waterfalls),Yes,Unknown,Suitable
901031,162346,Aldrovanda vesiculosa,5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),Yes,Unknown,Suitable
1009393,163448,Cycloderma aubryi,1.8,Forest - Subtropical / Tropical Swamp,Yes,passage,Suitable
1009393,163448,Cycloderma aubryi,5.3,Wetlands (inland) - Shrub Dominated Wetlands,Yes,resident,Suitable
1009393,163448,Cycloderma aubryi,5.1,Wetlands (inland) - Permanent Rivers / Streams / Creeks (includes waterfalls),Yes,resident,Suitable
1009393,163448,Cycloderma aubryi,5.7,Wetlands (inland) - Permanent Freshwater Marshes / Pools (under 8ha),Unknown,Unknown,Unknown
1009393,163448,Cycloderma aubryi,5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),Unknown,resident,Suitable
1009393,163448,Cycloderma aubryi,5.4,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",Unknown,Unknown,Unknown
1009393,163448,Cycloderma aubryi,5.2,Wetlands (inland) - Seasonal / Intermittent / Irregular Rivers / Streams / Creeks,Unknown,Unknown,Suitable
1029195,164189,Potamogeton perfoliatus,5.7,Wetlands (inland) - Permanent Freshwater Marshes / Pools (under 8ha),No,Unknown,Suitable
1029195,164189,Potamogeton perfoliatus,5.6,Wetlands (inland) - Seasonal / Intermittent Freshwater Lakes (over 8ha),No,Unknown,Suitable
1029195,164189,Potamogeton perfoliatus,5.2,Wetlands (inland) - Seasonal / Intermittent / Irregular Rivers / Streams / Creeks,No,Unknown,Suitable
1029195,164189,Potamogeton perfoliatus,5.1,Wetlands (inland) - Permanent Rivers / Streams / Creeks (includes waterfalls),Unknown,Unknown,Suitable
1029195,164189,Potamogeton perfoliatus,5.4,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",Unknown,Unknown,Suitable
1029195,164189,Potamogeton perfoliatus,5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),Unknown,Unknown,Suitable
1036377,164272,Brachiaria mutica,5.1,Wetlands (inland) - Permanent Rivers / Streams / Creeks (includes waterfalls),Unknown,Unknown,Suitable
1044291,164347,Epilobium hirsutum,5.1,Wetlands (inland) - Permanent Rivers / Streams / Creeks (includes waterfalls),Yes,Unknown,Suitable
1044291,164347,Epilobium hirsutum,5.7,Wetlands (inland) - Permanent Freshwater Marshes / Pools (under 8ha),Yes,Unknown,Suitable
1044291,164347,Epilobium hirsutum,5.4,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",Yes,Unknown,Suitable
1044291,164347,Epilobium hirsutum,5.2,Wetlands (inland) - Seasonal / Intermittent / Irregular Rivers / Streams / Creeks,Yes,Unknown,Suitable
1044291,164347,Epilobium hirsutum,5.9,Wetlands (inland) - Freshwater Springs and Oases,No,Unknown,Suitable
1044291,164347,Epilobium hirsutum,5.8,Wetlands (inland) - Seasonal / Intermittent Freshwater Marshes / Pools (under 8ha),Yes,Unknown,Suitable
1044291,164347,Epilobium hirsutum,5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),Unknown,Unknown,Marginal
1044291,164347,Epilobium hirsutum,5.6,Wetlands (inland) - Seasonal / Intermittent Freshwater Lakes (over 8ha),Unknown,Unknown,Marginal
1047208,164380,Echinochloa colona,5.7,Wetlands (inland) - Permanent Freshwater Marshes / Pools (under 8ha),No,Unknown,Suitable
1047208,164380,Echinochloa colona,5.4,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",No,Unknown,Suitable
1047208,164380,Echinochloa colona,5.2,Wetlands (inland) - Seasonal / Intermittent / Irregular Rivers / Streams / Creeks,Yes,Unknown,Suitable
1047208,164380,Echinochloa colona,5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),No,Unknown,Suitable
1047208,164380,Echinochloa colona,5.6,Wetlands (inland) - Seasonal / Intermittent Freshwater Lakes (over 8ha),No,Unknown,Suitable
1047208,164380,Echinochloa colona,5.8,Wetlands (inland) - Seasonal / Intermittent Freshwater Marshes / Pools (under 8ha),Yes,Unknown,Suitable
1047208,164380,Echinochloa colona,5.1,Wetlands (inland) - Permanent Rivers / Streams / Creeks (includes waterfalls),No,Unknown,Suitable
1053206,164478,Echinochloa pyramidalis,5.4,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",Yes,Unknown,Suitable
1053206,164478,Echinochloa pyramidalis,5.2,Wetlands (inland) - Seasonal / Intermittent / Irregular Rivers / Streams / Creeks,Yes,Unknown,Suitable
1053206,164478,Echinochloa pyramidalis,5.1,Wetlands (inland) - Permanent Rivers / Streams / Creeks (includes waterfalls),Yes,Unknown,Suitable
1053206,164478,Echinochloa pyramidalis,5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),Unknown,Unknown,Suitable
1057746,164522,Paspalidium geminatum,5.7,Wetlands (inland) - Permanent Freshwater Marshes / Pools (under 8ha),Yes,Unknown,Suitable
1057746,164522,Paspalidium geminatum,5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),Yes,Unknown,Suitable
1057746,164522,Paspalidium geminatum,5.1,Wetlands (inland) - Permanent Rivers / Streams / Creeks (includes waterfalls),Unknown,Unknown,Marginal
1222438,168752,Utricularia striatula,1.6,Forest - Subtropical / Tropical Moist Lowland,Yes,Unknown,Suitable
1256797,168955,Phragmites karka,5.9,Wetlands (inland) - Freshwater Springs and Oases,No,Unknown,Suitable
1256797,168955,Phragmites karka,5.8,Wetlands (inland) - Seasonal / Intermittent Freshwater Marshes / Pools (under 8ha),Yes,Unknown,Suitable
1256797,168955,Phragmites karka,5.7,Wetlands (inland) - Permanent Freshwater Marshes / Pools (under 8ha),Yes,Unknown,Suitable
1256797,168955,Phragmites karka,5.6,Wetlands (inland) - Seasonal / Intermittent Freshwater Lakes (over 8ha),Yes,Unknown,Suitable
1256797,168955,Phragmites karka,5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),Yes,Unknown,Suitable
1256797,168955,Phragmites karka,5.4,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",Yes,Unknown,Suitable
1256797,168955,Phragmites karka,5.2,Wetlands (inland) - Seasonal / Intermittent / Irregular Rivers / Streams / Creeks,Yes,Unknown,Suitable
