assessmentId,internalTaxonId,scientificName,code,name,international,national,other,subsistence
521021,137173,Onthophagus lacustris,15,Sport hunting/specimen collecting,Unknown,Unknown,Unknown,Unknown
529469,137702,Onthophagus quadricuspis,15,Sport hunting/specimen collecting,Unknown,Unknown,Unknown,Unknown
531807,137834,Garreta azureus,15,Sport hunting/specimen collecting,Unknown,Unknown,Unknown,Unknown
747133,157273,Chamaeleo africanus,13,"Pets/display animals, horticulture",True,True,Unknown,Unknown
747133,157273,Chamaeleo africanus,12,"Handicrafts, jewellery, etc.",Unknown,Unknown,Unknown,True
747133,157273,Chamaeleo africanus,3,Medicine - human & veterinary,Unknown,Unknown,Unknown,True
901031,162346,Aldrovanda vesiculosa,13,"Pets/display animals, horticulture",Unknown,Unknown,Unknown,Unknown
1009393,163448,Cycloderma aubryi,1,Food - human,Unknown,True,Unknown,True
1009393,163448,Cycloderma aubryi,13,"Pets/display animals, horticulture",True,Unknown,Unknown,Unknown
1029195,164189,Potamogeton perfoliatus,3,Medicine - human & veterinary,Unknown,Unknown,Unknown,True
1029195,164189,Potamogeton perfoliatus,2,Food - animal,Unknown,Unknown,Unknown,True
1036377,164272,Brachiaria mutica,3,Medicine - human & veterinary,Unknown,Unknown,Unknown,True
1036377,164272,Brachiaria mutica,2,Food - animal,Unknown,Unknown,Unknown,True
1036377,164272,Brachiaria mutica,9,Construction or structural materials,Unknown,Unknown,Unknown,Unknown
1044291,164347,Epilobium hirsutum,1,Food - human,Unknown,Unknown,Unknown,True
1044291,164347,Epilobium hirsutum,3,Medicine - human & veterinary,Unknown,Unknown,Unknown,True
1047208,164380,Echinochloa colona,2,Food - animal,Unknown,Unknown,Unknown,Unknown
1047208,164380,Echinochloa colona,3,Medicine - human & veterinary,Unknown,Unknown,Unknown,Unknown
1047208,164380,Echinochloa colona,1,Food - human,Unknown,Unknown,Unknown,Unknown
1256797,168955,Phragmites karka,9,Construction or structural materials,Unknown,Unknown,Unknown,Unknown
1256797,168955,Phragmites karka,2,Food - animal,Unknown,Unknown,Unknown,True
1257878,168960,Plantago major,3,Medicine - human & veterinary,Unknown,Unknown,Unknown,True
1260955,168983,Paspalum scrobiculatum,3,Medicine - human & veterinary,Unknown,Unknown,Unknown,True
1260955,168983,Paspalum scrobiculatum,2,Food - animal,Unknown,Unknown,Unknown,True
1260955,168983,Paspalum scrobiculatum,1,Food - human,Unknown,Unknown,Unknown,True
1267310,169043,Brachiaria reptans,2,Food - animal,Unknown,Unknown,Unknown,Unknown
1267310,169043,Brachiaria reptans,3,Medicine - human & veterinary,Unknown,Unknown,Unknown,True
1344539,172534,Trioceros rudis,13,"Pets/display animals, horticulture",True,Unknown,Unknown,Unknown
1344573,172536,Chamaeleo gracilis,16,Establishing ex-situ production *,Unknown,Unknown,Unknown,Unknown
1344573,172536,Chamaeleo gracilis,13,"Pets/display animals, horticulture",True,Unknown,Unknown,Unknown
1344969,172546,Kinyongia xenorhina,13,"Pets/display animals, horticulture",True,Unknown,Unknown,Unknown
1345148,172553,Trioceros wiedersheimi,13,"Pets/display animals, horticulture",True,Unknown,Unknown,Unknown
1345950,172573,Trioceros johnstoni,13,"Pets/display animals, horticulture",True,Unknown,Unknown,Unknown
1346125,172578,Kinyongia adolfifriderici,13,"Pets/display animals, horticulture",True,Unknown,Unknown,Unknown
1346167,172579,Trioceros oweni,13,"Pets/display animals, horticulture",True,Unknown,Unknown,Unknown
1346167,172579,Trioceros oweni,3,Medicine - human & veterinary,Unknown,Unknown,Unknown,True
1346167,172579,Trioceros oweni,12,"Handicrafts, jewellery, etc.",Unknown,Unknown,Unknown,True
1438077,176308,Chamaeleo dilepis,16,Establishing ex-situ production *,Unknown,Unknown,Unknown,Unknown
1438077,176308,Chamaeleo dilepis,13,"Pets/display animals, horticulture",True,Unknown,Unknown,Unknown
1467230,177112,Oryza glaberrima,1,Food - human,True,True,Unknown,Unknown
1471268,177184,Oryza barthii,1,Food - human,True,Unknown,Unknown,Unknown
2317341,194345,Lutjanus goreensis,1,Food - human,True,True,Unknown,True
2329203,194388,Lutjanus endecacanthus,1,Food - human,Unknown,Unknown,Unknown,True
2330500,194394,Lutjanus dentatus,1,Food - human,True,True,Unknown,True
2476715,196814,Carlarius latiscutatus,1,Food - human,Unknown,True,Unknown,True
2493506,197625,Desmocaris trispinosa,13,"Pets/display animals, horticulture",Unknown,Unknown,Unknown,True
2500294,197797,Macrobrachium macrobrachion,1,Food - human,Unknown,Unknown,Unknown,True
2510710,198069,Macrobrachium dux,1,Food - human,Unknown,Unknown,Unknown,True
2513599,198149,Macrobrachium vollenhoveni,1,Food - human,Unknown,Unknown,Unknown,True
2675875,200646,Lebrunia bushaie,9,Construction or structural materials,Unknown,Unknown,Unknown,True
2675875,200646,Lebrunia bushaie,1,Food - human,Unknown,Unknown,Unknown,True
2676040,200647,Pentadesma lebrunii,9,Construction or structural materials,Unknown,Unknown,Unknown,True
2676040,200647,Pentadesma lebrunii,7,Fuels,Unknown,Unknown,Unknown,True
2678517,200678,Trichoscypha engong,1,Food - human,Unknown,Unknown,Unknown,True
2750767,202752,Dalbergia ealaensis,9,Construction or structural materials,Unknown,Unknown,Unknown,True
2751978,202766,Pterocarpus zenkeri,9,Construction or structural materials,Unknown,Unknown,Unknown,True
2771710,203829,Trioceros serratus,13,"Pets/display animals, horticulture",True,Unknown,Unknown,Unknown
2828337,32947,Delonix regia,16,Establishing ex-situ production *,Unknown,Unknown,Unknown,Unknown
2828337,32947,Delonix regia,9,Construction or structural materials,Unknown,Unknown,Unknown,True
2828337,32947,Delonix regia,7,Fuels,Unknown,Unknown,Unknown,True
2828337,32947,Delonix regia,13,"Pets/display animals, horticulture",True,True,Unknown,True
2828337,32947,Delonix regia,5,Manufacturing chemicals,Unknown,Unknown,Unknown,True
2828337,32947,Delonix regia,11,Other household goods,Unknown,Unknown,Unknown,True
2835242,33217,Juniperus procera,16,Establishing ex-situ production *,Unknown,Unknown,Unknown,Unknown
2835242,33217,Juniperus procera,11,Other household goods,Unknown,True,Unknown,True
2835242,33217,Juniperus procera,9,Construction or structural materials,Unknown,True,Unknown,True
