Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies,Full Name,Rank,Remarks,year,party,quota,unit,publication_date,notes,url
Animalia,Chordata,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,amphibius,,Hippopotamus amphibius,SPECIES,"",2020,United Republic of Tanzania,10598.0,"",2020-01-29 00:00:00 UTC,"Teeth from 1200 animals, trophies (Note: Animals Committee or Standing Committee recommendation)",""
Animalia,Chordata,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,amphibius,,Hippopotamus amphibius,SPECIES,"",2019,Ethiopia,20.0,kg,2019-07-29 00:00:00 UTC,"raw ivory, wild-taken",""
Animalia,Chordata,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,amphibius,,Hippopotamus amphibius,SPECIES,"",2019,Ethiopia,6.0,"",2019-07-29 00:00:00 UTC,"trophies, wild-taken",""
Animalia,Chordata,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,amphibius,,Hippopotamus amphibius,SPECIES,"",2019,Ethiopia,20.0,kg,2019-07-29 00:00:00 UTC,"worked ivory, wild-taken",""
Animalia,Chordata,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,amphibius,,Hippopotamus amphibius,SPECIES,"",2019,United Republic of Tanzania,10598.0,kg,2019-07-29 00:00:00 UTC,teeth as trophies from 1200 animals,""
Animalia,Chordata,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,amphibius,,Hippopotamus amphibius,SPECIES,"",2018,Ethiopia,20.0,kg,2018-03-19 00:00:00 UTC,raw ivory,""
Animalia,Chordata,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,amphibius,,Hippopotamus amphibius,SPECIES,"",2018,Ethiopia,6.0,"",2018-03-19 00:00:00 UTC,trophies,""
Animalia,Chordata,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,amphibius,,Hippopotamus amphibius,SPECIES,"",2018,Ethiopia,20.0,kg,2018-03-19 00:00:00 UTC,worked ivory,""
Animalia,Chordata,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,amphibius,,Hippopotamus amphibius,SPECIES,"",2018,Mozambique,53.0,"",2019-03-15 00:00:00 UTC,"trophy, wild-taken ",""
Animalia,Chordata,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,amphibius,,Hippopotamus amphibius,SPECIES,"",2018,United Republic of Tanzania,10598.0,kg,2018-06-27 00:00:00 UTC,teeth as trophies from 1200 animals,""
Animalia,Chordata,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,amphibius,,Hippopotamus amphibius,SPECIES,"",2017,Cameroon,-1.0,"",2017-03-06 00:00:00 UTC,trophies. Note: see Notif. 2013/049,""
Animalia,Chordata,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,amphibius,,Hippopotamus amphibius,SPECIES,"",2017,Ethiopia,20.0,kg,2017-03-06 00:00:00 UTC,raw ivory,""
Animalia,Chordata,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,amphibius,,Hippopotamus amphibius,SPECIES,"",2017,Ethiopia,6.0,"",2017-03-06 00:00:00 UTC,trophies,""
Animalia,Chordata,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,amphibius,,Hippopotamus amphibius,SPECIES,"",2017,Ethiopia,20.0,kg,2017-03-06 00:00:00 UTC,worked ivory,""
Animalia,Chordata,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,amphibius,,Hippopotamus amphibius,SPECIES,"",2017,United Republic of Tanzania,10598.0,kg,2017-03-06 00:00:00 UTC,teeth as trophies from 1200 animals,""
Animalia,Chordata,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,amphibius,,Hippopotamus amphibius,SPECIES,"",2016,Cameroon,-1.0,"",2016-04-03 00:00:00 UTC,trophies. Note: see Notif. 2013/049,https://cites.org/eng/resources/quotas/export_quotas
Animalia,Chordata,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,amphibius,,Hippopotamus amphibius,SPECIES,"",2016,Ethiopia,20.0,kg,2016-04-03 00:00:00 UTC,raw ivory,""
Animalia,Chordata,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,amphibius,,Hippopotamus amphibius,SPECIES,"",2016,Ethiopia,6.0,"",2016-04-03 00:00:00 UTC,trophies,""
Animalia,Chordata,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,amphibius,,Hippopotamus amphibius,SPECIES,"",2016,Ethiopia,20.0,kg,2016-04-03 00:00:00 UTC,worked ivory,""
Animalia,Chordata,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,amphibius,,Hippopotamus amphibius,SPECIES,"",2016,United Republic of Tanzania,10598.0,kg,2016-04-03 00:00:00 UTC,teeth as trophies from 1200 animals,https://cites.org/eng/resources/quotas/export_quotas
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,aureus,,Canis aureus,SPECIES,"",2019,Ethiopia,10.0,"",2019-07-29 00:00:00 UTC,"live, wild-taken",""
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,aureus,,Canis aureus,SPECIES,"",2019,Ethiopia,20.0,"",2019-07-29 00:00:00 UTC,"trophies, wild-taken",""
