Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies,Full Name,Rank,Remarks,start_date,start_notification,end_date,end_notification,party,notes,valid
Animalia,Chordata,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,amphibius,,Hippopotamus amphibius,SPECIES,"",16/03/2016,CITES Notif. No. 2016/018,15/01/2018,CITES Notif. No. 2018/006,Mozambique,All exports.,false
Animalia,Chordata,Mammalia,Pholidota,Manidae,Manis,,,Manis,GENUS,"",01/11/2018,CITES Notif. No. 2018/082,"",,Democratic Republic of the Congo,"Suspension of trade in stockpiled specimens of <i>Manis</i> spp. fro DRC, until further guidance is provided by the Conference of the PArties at its 18th meeting (CoP18).",true
Animalia,Chordata,Aves,Gruiformes,Gruidae,Balearica,pavonina,,Balearica pavonina,SPECIES,"",06/05/2019,CITES Notif. No. 2019/027,20/01/2020,CITES Notif. No. 2020/006,Guinea,All exports.,false
Animalia,Chordata,Aves,Gruiformes,Gruidae,Balearica,pavonina,,Balearica pavonina,SPECIES,"",06/05/2019,CITES Notif. No. 2019/027,20/01/2020,CITES Notif. No. 2020/006,South Sudan,All exports.,false
Animalia,Chordata,Aves,Gruiformes,Gruidae,Balearica,pavonina,,Balearica pavonina,SPECIES,"",06/05/2019,CITES Notif. No. 2019/027,20/01/2020,CITES Notif. No. 2020/006,Sudan,All exports.,false
Animalia,Chordata,Aves,Gruiformes,Gruidae,Balearica,pavonina,,Balearica pavonina,SPECIES,"",15/01/2018,CITES Notif. No. 2018/006,06/05/2019,CITES Notif. No. 2019/027,Guinea,All exports.,false
Animalia,Chordata,Aves,Gruiformes,Gruidae,Balearica,pavonina,,Balearica pavonina,SPECIES,"",15/01/2018,CITES Notif. No. 2018/006,06/05/2019,CITES Notif. No. 2019/027,South Sudan,All exports.,false
Animalia,Chordata,Aves,Gruiformes,Gruidae,Balearica,pavonina,,Balearica pavonina,SPECIES,"",15/01/2018,CITES Notif. No. 2018/006,06/05/2019,CITES Notif. No. 2019/027,Sudan,All exports.,false
Animalia,Chordata,Aves,Gruiformes,Gruidae,Balearica,pavonina,,Balearica pavonina,SPECIES,"",16/03/2016,CITES Notif. No. 2016/018,15/01/2018,CITES Notif. No. 2018/006,Guinea,All exports.,false
Animalia,Chordata,Aves,Gruiformes,Gruidae,Balearica,pavonina,,Balearica pavonina,SPECIES,"",16/03/2016,CITES Notif. No. 2016/018,15/01/2018,CITES Notif. No. 2018/006,South Sudan,All exports.,false
Animalia,Chordata,Aves,Gruiformes,Gruidae,Balearica,pavonina,,Balearica pavonina,SPECIES,"",16/03/2016,CITES Notif. No. 2016/018,15/01/2018,CITES Notif. No. 2018/006,Sudan,All exports.,false
Animalia,Chordata,Aves,Gruiformes,Gruidae,Balearica,regulorum,,Balearica regulorum,SPECIES,"",20/01/2020,CITES Notif. No. 2020/006,"",,United Republic of Tanzania,All exports.,true
Animalia,Chordata,Aves,Gruiformes,Gruidae,Balearica,regulorum,,Balearica regulorum,SPECIES,"",06/05/2019,CITES Notif. No. 2019/027,20/01/2020,CITES Notif. No. 2020/006,United Republic of Tanzania,All exports.,false
Animalia,Chordata,Aves,Gruiformes,Gruidae,Balearica,regulorum,,Balearica regulorum,SPECIES,"",15/01/2018,CITES Notif. No. 2018/006,06/05/2019,CITES Notif. No. 2019/027,United Republic of Tanzania,All exports.,false
Animalia,Chordata,Aves,Gruiformes,Gruidae,Balearica,regulorum,,Balearica regulorum,SPECIES,"",16/03/2016,CITES Notif. No. 2016/018,15/01/2018,CITES Notif. No. 2018/006,United Republic of Tanzania,All exports.,false
Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Agapornis,fischeri,,Agapornis fischeri,SPECIES,"",15/01/2018,CITES Notif. No. 2018/006,06/05/2019,CITES Notif. No. 2019/027,United Republic of Tanzania,All exports.,false
Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Agapornis,fischeri,,Agapornis fischeri,SPECIES,"",16/03/2016,CITES Notif. No. 2016/018,15/01/2018,CITES Notif. No. 2018/006,United Republic of Tanzania,All exports.,false
Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Coracopsis,vasa,,Coracopsis vasa,SPECIES,"",20/01/2020,CITES Notif. No. 2020/006,"",,Madagascar,All exports.,true
Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Coracopsis,vasa,,Coracopsis vasa,SPECIES,"",06/05/2019,CITES Notif. No. 2019/027,20/01/2020,CITES Notif. No. 2020/006,Madagascar,All exports.,false
Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Coracopsis,vasa,,Coracopsis vasa,SPECIES,"",15/01/2018,CITES Notif. No. 2018/006,06/05/2019,CITES Notif. No. 2019/027,Madagascar,All exports.,false
Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Coracopsis,vasa,,Coracopsis vasa,SPECIES,"",16/03/2016,CITES Notif. No. 2016/018,15/01/2018,CITES Notif. No. 2018/006,Madagascar,All exports.,false
Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Poicephalus,fuscicollis,,Poicephalus fuscicollis,SPECIES,"",20/01/2020,CITES Notif. No. 2020/006,"",,Democratic Republic of the Congo,"All exports.; <p>Suspension originally formed for <i>Poicephalus robustus</i>, from which <i>Poicephalus fuscicollis</i> was split in 2017, following taxonomic changes adopted at CoP17.</p>",true
Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Poicephalus,fuscicollis,,Poicephalus fuscicollis,SPECIES,"",20/01/2020,CITES Notif. No. 2020/006,"",,Togo,"All exports.; <p>Suspension originally formed for <i>Poicephalus robustus</i>, from which <i>Poicephalus fuscicollis</i> was split in 2017, following taxonomic changes adopted at CoP17.</p>",true
Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Poicephalus,fuscicollis,,Poicephalus fuscicollis,SPECIES,"",06/05/2019,CITES Notif. No. 2019/027,20/01/2020,CITES Notif. No. 2020/006,Democratic Republic of the Congo,"All exports.; <p>Suspension originally formed for <i>Poicephalus robustus</i>, from which <i>Poicephalus fuscicollis</i> was split in 2017, following taxonomic changes adopted at CoP17.</p>",false
Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Poicephalus,fuscicollis,,Poicephalus fuscicollis,SPECIES,"",06/05/2019,CITES Notif. No. 2019/027,20/01/2020,CITES Notif. No. 2020/006,Togo,"All exports.; <p>Suspension originally formed for <i>Poicephalus robustus</i>, from which <i>Poicephalus fuscicollis</i> was split in 2017, following taxonomic changes adopted at CoP17.</p>",false
Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Poicephalus,fuscicollis,,Poicephalus fuscicollis,SPECIES,"",15/01/2018,CITES Notif. No. 2018/006,06/05/2019,CITES Notif. No. 2019/027,Democratic Republic of the Congo,"All exports.; <p>Suspension originally formed for <i>Poicephalus robustus</i>, from which <i>Poicephalus fuscicollis</i> was split in 2017, following taxonomic changes adopted at CoP17.</p>",false
Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Poicephalus,fuscicollis,,Poicephalus fuscicollis,SPECIES,"",15/01/2018,CITES Notif. No. 2018/006,06/05/2019,CITES Notif. No. 2019/027,Mali,"All exports.; <p>Suspension originally formed for <i>Poicephalus robustus</i>, from which <i>Poicephalus fuscicollis</i> was split in 2017, following taxonomic changes adopted at CoP17.</p>",false
Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Poicephalus,fuscicollis,,Poicephalus fuscicollis,SPECIES,"",15/01/2018,CITES Notif. No. 2018/006,06/05/2019,CITES Notif. No. 2019/027,Togo,"All exports.; <p>Suspension originally formed for <i>Poicephalus robustus</i>, from which <i>Poicephalus fuscicollis</i> was split in 2017, following taxonomic changes adopted at CoP17.</p>",false
Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Poicephalus,fuscicollis,,Poicephalus fuscicollis,SPECIES,"",16/03/2016,CITES Notif. No. 2016/018,15/01/2018,CITES Notif. No. 2018/006,Democratic Republic of the Congo,"All exports.; <p>Suspension originally formed for <i>Poicephalus robustus</i>, from which <i>Poicephalus fuscicollis</i> was split in 2017, following taxonomic changes adopted at CoP17.</p>",false
Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Poicephalus,fuscicollis,,Poicephalus fuscicollis,SPECIES,"",16/03/2016,CITES Notif. No. 2016/018,15/01/2018,CITES Notif. No. 2018/006,Mali,"All exports.; <p>Suspension originally formed for <i>Poicephalus robustus</i>, from which <i>Poicephalus fuscicollis</i> was split in 2017, following taxonomic changes adopted at CoP17.</p>",false
