,name,habitat,code,suitability,season,majorimportance
0,Abisara rutherfordii,Forest - Subtropical/Tropical Moist Lowland,1.6,Suitable,,Yes
1,Abrus fruticulosus,Forest - Subtropical/Tropical Dry,1.5,Suitable,,
2,Abrus fruticulosus,Forest - Subtropical/Tropical Moist Lowland,1.6,Suitable,,
3,Acacia ataxacantha,Forest - Subtropical/Tropical Dry,1.5,Suitable,,
4,Acacia dudgeonii,Forest - Subtropical/Tropical Dry,1.5,Suitable,,
5,Acalypha neptunica,Forest - Subtropical/Tropical Moist Lowland,1.6,Suitable,,
6,Acalypha ornata,Forest - Subtropical/Tropical Moist Lowland,1.6,Suitable,,
7,Acanthixalus spinosus,Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest,14.6,Suitable,,
8,Acanthixalus spinosus,Forest - Subtropical/Tropical Moist Lowland,1.6,Suitable,,
9,Acanthopale decempedalis,Forest - Subtropical/Tropical Moist Montane,1.9,Suitable,,
10,Acanthus montanus,Forest - Subtropical/Tropical Moist Lowland,1.6,Suitable,,
11,Acanthus montanus,Forest - Subtropical/Tropical Swamp,1.8,Suitable,,
12,Acanthus montanus,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),5.1,Suitable,,
13,Accipiter badius,Forest - Subtropical/Tropical Moist Lowland,1.6,Suitable,Breeding Season,No
14,Accipiter badius,Forest - Subtropical/Tropical Moist Lowland,1.6,Suitable,Non-Breeding Season,No
15,Accipiter brevipes,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),5.1,Suitable,Breeding Season,No
16,Accipiter castanilius,Forest - Subtropical/Tropical Moist Lowland,1.6,Suitable,Resident,Yes
17,Accipiter erythropus,Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest,14.6,Suitable,Resident,No
18,Accipiter erythropus,Forest - Subtropical/Tropical Moist Lowland,1.6,Suitable,Resident,Yes
19,Accipiter melanoleucus,Forest - Subtropical/Tropical Moist Lowland,1.6,Suitable,Resident,Yes
20,Accipiter melanoleucus,Forest - Subtropical/Tropical Moist Montane,1.9,Suitable,Resident,Yes
21,Accipiter melanoleucus,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),5.1,Suitable,Resident,No
22,Accipiter toussenelii,Forest - Subtropical/Tropical Moist Lowland,1.6,Suitable,Resident,Yes
