internalTaxonId,scientificName,name,language,main
157273,Chamaeleo africanus,African Chameleon,English,false
157273,Chamaeleo africanus,Afrikanisches Chamäleon,German,false
157273,Chamaeleo africanus,Basilisk Chameleon,English,true
162346,Aldrovanda vesiculosa,Common Aldrovanda,English,false
162346,Aldrovanda vesiculosa,Aldrovanda,Hungarian,false
162346,Aldrovanda vesiculosa,Aldrovanda,Italian,false
162346,Aldrovanda vesiculosa,Aldrovandie à vessies,French,false
162346,Aldrovanda vesiculosa,Aldrovandie vésiculeuse,French,false
162346,Aldrovanda vesiculosa,Aлдрованда,Russian,false
162346,Aldrovanda vesiculosa,Aлдрованда,Bulgarian,false
162346,Aldrovanda vesiculosa,Beol-le-meog-i-mal,Korean,false
162346,Aldrovanda vesiculosa,Mjehurasta vodena stupica,Croatian,false
162346,Aldrovanda vesiculosa,Wasserfalle,German,false
162346,Aldrovanda vesiculosa,Водена ступица,Serbian,false
162346,Aldrovanda vesiculosa,Воденичарче,Macedonian,false
162346,Aldrovanda vesiculosa,Waterwheel,English,true
163440,Pelusios niger,Black Hinged Terrapin,English,false
163440,Pelusios niger,Péluse à bec crochu,French,false
163440,Pelusios niger,West African Black Mud Turtle,English,true
163448,Cycloderma aubryi,Tortue molle d’Aubry,French,false
163448,Cycloderma aubryi,Aubry's Flapshell Turtle,English,true
164022,Leersia hexandra,Shillakh,Arabic,false
164022,Leersia hexandra,Shullekh,Arabic,false
164189,Potamogeton perfoliatus,Oreja de Liebre,Spanish; Castilian,false
164189,Potamogeton perfoliatus,Potamot perfoliÃ©,French,false
164189,Potamogeton perfoliatus,Potamot perfoliÃƒÂ©,French,false
164189,Potamogeton perfoliatus,Potamot perfolié,French,false
164189,Potamogeton perfoliatus,Perfoliate Pondweed ,English,true
164189,Potamogeton perfoliatus,Perfoliate Pondweed ,English,true
164189,Potamogeton perfoliatus,Perfoliate Pondweed ,English,true
164189,Potamogeton perfoliatus,Perfoliate Pondweed ,English,true
164272,Brachiaria mutica,Herbe de Para,French,false
164281,Nymphaea lotus,Egyptian lotus,English,false
164281,Nymphaea lotus,Egyptian water-lily,English,false
164281,Nymphaea lotus,Water Lily,English,false
164281,Nymphaea lotus,White egyptian lotus,English,false
164281,Nymphaea lotus,White lotus,English,false
164281,Nymphaea lotus,White water-lily,English,false
164281,Nymphaea lotus,Ägyptische lotosblume,German,false
164281,Nymphaea lotus,Bashneen Abyad,Arabic,false
164281,Nymphaea lotus,Golfão-vermelho,Portuguese,false
164281,Nymphaea lotus,Lotier d'egypte,French,false
164281,Nymphaea lotus,Loto,Spanish; Castilian,false
164281,Nymphaea lotus,Weiße ägyptische seerose,German,false
164281,Nymphaea lotus,Weißer ägyptischer lotus,German,false
164281,Nymphaea lotus,Lotus,Arabic,true
164347,Epilobium hirsutum,Épilobe Hérissé,French,false
164347,Epilobium hirsutum,Garofanino d'Acqua,Italian,false
164347,Epilobium hirsutum,Keun-ba-neul-kkot,Korean,false
164347,Epilobium hirsutum,Great Willowherb,English,true
164380,Echinochloa colona,Abu Rokba,Arabic,false
164380,Echinochloa colona,Zafra,Arabic,false
164380,Echinochloa colona,Blé du Dekkan,French,true
164478,Echinochloa pyramidalis,Antelope Grass,English,false
164522,Paspalidium geminatum,Nseila,Arabic,false
164522,Paspalidium geminatum,Qasaba,Arabic,false
168960,Plantago major,Common Plantain,English,false
168960,Plantago major,Greater Plantain,English,false
168960,Plantago major,Grand Plantain,French,false
168960,Plantago major,Llantén Major ,Spanish; Castilian,false
168960,Plantago major,Broadleaf Plantain,English,true
168983,Paspalum scrobiculatum,Kodo,Hindi,false
168983,Paspalum scrobiculatum,Kodo Millet,English,true
169043,Brachiaria reptans,Running Grass,English,false
169043,Brachiaria reptans,Sprawling Signal Grass,English,false
169043,Brachiaria reptans,Creeping Panic Grass,English,true
169055,Fimbristylis quinquangularis,Cỏ Gà,Vietnamese,true
170424,Vigna ambacensis,Tsarkiyan zomo,English,false
170424,Vigna ambacensis,Waken Wangi,English,false
170424,Vigna ambacensis,Yaryadi dagi,English,false
170424,Vigna ambacensis,Zagaya rafi,English,false
170424,Vigna ambacensis,Aragora Baratha,Amharic,false
170424,Vigna ambacensis,Kasali,French,false
170424,Vigna ambacensis,Mondo,French,false
170424,Vigna ambacensis,Tere,French,false
170424,Vigna ambacensis,Fuca n’ Lepo,Portuguese,true
170430,Vigna comosa,Kilulu,French,false
170430,Vigna comosa,Yonde,French,false
170430,Vigna comosa,Bangassu,French,true
170431,Vigna desmodioides,Ilenabulere,English,true
170434,Vigna fischeri,Bakasukui,French,false
170434,Vigna fischeri,Bakasukui,French,false
170434,Vigna fischeri,Kuzimbi,Swahili,false
170434,Vigna fischeri,Legishyimbo emuhasam,French,false
170434,Vigna fischeri,Lukusimbi,Swahili,false
170434,Vigna fischeri,Muchari,Swahili,false
170434,Vigna fischeri,Ngaraorwe,French,false
170434,Vigna fischeri,Umhara-kuku,French,true
170445,Vigna kirkii,Muchaihi,Swahili,false
170445,Vigna kirkii,Inaola Kwaka,French,true
170447,Vigna laurentii,Umukaloko,French,true
170448,Vigna longifolia,Yawe,Bengali,true
