assessmentId,internalTaxonId,scientificName,code,name
901031,162346,Aldrovanda vesiculosa,H,Hydrophyte
1029195,164189,Potamogeton perfoliatus,H,Hydrophyte
1029195,164189,Potamogeton perfoliatus,F,Forb or Herb
1036377,164272,Brachiaria mutica,GR,Graminoid
1036377,164272,Brachiaria mutica,F,Forb or Herb
1044291,164347,Epilobium hirsutum,F,Forb or Herb
1047208,164380,Echinochloa colona,GR,Graminoid
1047208,164380,Echinochloa colona,F,Forb or Herb
1053206,164478,Echinochloa pyramidalis,GR,Graminoid
1053206,164478,Echinochloa pyramidalis,F,Forb or Herb
1057746,164522,Paspalidium geminatum,GR,Graminoid
1057746,164522,Paspalidium geminatum,F,Forb or Herb
1222438,168752,Utricularia striatula,F,Forb or Herb
1256797,168955,Phragmites karka,GR,Graminoid
1256797,168955,Phragmites karka,GE,Geophyte
1257878,168960,Plantago major,F,Forb or Herb
1260955,168983,Paspalum scrobiculatum,GR,Graminoid
1260955,168983,Paspalum scrobiculatum,F,Forb or Herb
1267310,169043,Brachiaria reptans,GR,Graminoid
1267901,169055,Fimbristylis quinquangularis,GR,Graminoid
1384670,173426,Diospyros longiflora,SL,Shrub - large
1390109,173560,Diospyros soyauxii,SL,Shrub - large
1393138,173639,Diospyros platanoides,TS,Tree - small
1399393,173784,Diospyros alboflavescens,TS,Tree - small
1464875,177073,Oryza brachyantha,F,Forb or Herb
1464875,177073,Oryza brachyantha,GR,Graminoid
1467230,177112,Oryza glaberrima,A,Annual
1467230,177112,Oryza glaberrima,F,Forb or Herb
1467230,177112,Oryza glaberrima,GR,Graminoid
1471268,177184,Oryza barthii,F,Forb or Herb
1471268,177184,Oryza barthii,GR,Graminoid
1476537,177265,Oryza eichingeri,A,Annual
1476537,177265,Oryza eichingeri,F,Forb or Herb
1476537,177265,Oryza eichingeri,GR,Graminoid
1573938,179286,Dorstenia hildebrandtii,F,Forb or Herb
1582425,179549,Disperis aphylla,GE,Geophyte
1583235,179584,Ficus lingua,TL,Tree - large
1583872,179605,Paropsia grewioides,TS,Tree - small
1588433,179735,Ficus tremula,T,Tree - size unknown
1588433,179735,Ficus tremula,S,Shrub - size unknown
1588433,179735,Ficus tremula,V,Vines
1593046,179877,Syzygium cordatum,T,Tree - size unknown
2674881,200636,Pavetta rwandensis,SS,Shrub - small
2674881,200636,Pavetta rwandensis,SL,Shrub - large
2674881,200636,Pavetta rwandensis,TS,Tree - small
2674881,200636,Pavetta rwandensis,V,Vines
2675875,200646,Lebrunia bushaie,TL,Tree - large
2676040,200647,Pentadesma lebrunii,TL,Tree - large
2676198,200648,Pradosia spinosa,TL,Tree - large
2677254,200662,Anisotes zenkeri,SL,Shrub - large
2677420,200664,Brachystephanus oreacanthus,F,Forb or Herb
2677504,200665,Chlamydocardia subrhomboidea,F,Forb or Herb
2677587,200666,Crossandra obanensis,SS,Shrub - small
2677673,200667,Dicliptera alternans,F,Forb or Herb
2677767,200668,Dischistocalyx champluvieranus,E,Epiphyte
2677841,200669,Dischistocalyx rivularis,E,Epiphyte
2677911,200670,Hygrophila mediatrix,H,Hydrophyte
2677994,200671,Justicia telloensis,F,Forb or Herb
2678062,200672,Justicia tenuipes,F,Forb or Herb
2678143,200673,Physacanthus talbotii,F,Forb or Herb
2678288,200675,Staurogyne pseudocapitata,F,Forb or Herb
2678360,200676,Stenandrium thomense,F,Forb or Herb
2678438,200677,Thunbergia rufescens,SS,Shrub - small
2678438,200677,Thunbergia rufescens,V,Vines
2678517,200678,Trichoscypha engong,TL,Tree - large
2678606,200679,Trichoscypha hallei,SS,Shrub - small
2678687,200680,Ancistrocladus grandiflorus,V,Vines
2678768,200681,Ancistrocladus korupensis,V,Vines
2678951,200683,Uvariopsis korupensis,TS,Tree - small
2679025,200684,Alafia whytei,V,Vines
2679122,200685,Baissea ochrantha,V,Vines
2679203,200686,Callichilia monopodialis,SS,Shrub - small
2679284,200687,Dictyophleba setosa,V,Vines
2679365,200689,Landolphia maxima,V,Vines
2679449,200690,Landolphia uniflora,V,Vines
2679545,200691,Landolphia flavidiflora,V,Vines
2679629,200692,Maclaudia felixii,V,Vines
2679727,200693,Malouetia barbata,SS,Shrub - small
2679810,200694,Petchia africana,SS,Shrub - small
2679888,200695,Pleioceras zenkeri,V,Vines
2679888,200695,Pleioceras zenkeri,SS,Shrub - small
2679992,200696,Tabernaemontana hallei,SL,Shrub - large
2680563,200702,Epistemma decurrens,V,Vines
2680563,200702,Epistemma decurrens,E,Epiphyte
2680742,200704,Marsdenia magniflora,V,Vines
2680928,200706,Pentarrhinum ledermannii,V,Vines
2680928,200706,Pentarrhinum ledermannii,F,Forb or Herb
2681085,200708,Secamone letouzeana,SS,Shrub - small
2681085,200708,Secamone letouzeana,V,Vines
2681191,200709,Impatiens gongolana,F,Forb or Herb
2747135,202703,Isoglossa dispersa,F,Forb or Herb
2747221,202704,Begonia heterochroma,F,Forb or Herb
2747301,202705,Begonia mbangaensis,F,Forb or Herb
2747373,202706,Begonia microsperma,F,Forb or Herb
2747373,202706,Begonia microsperma,E,Epiphyte
2747373,202706,Begonia microsperma,L,Lithophyte
2747444,202707,Begonia minuta,F,Forb or Herb
2747444,202707,Begonia minuta,L,Lithophyte
2747521,202708,Begonia montis-elephantis,F,Forb or Herb
2747521,202708,Begonia montis-elephantis,L,Lithophyte
2747670,202711,Begonia rubromarginata,E,Epiphyte
2747670,202711,Begonia rubromarginata,F,Forb or Herb
2747670,202711,Begonia rubromarginata,V,Vines
2747849,202713,Begonia stellata,F,Forb or Herb
2747918,202714,Begonia zenkeriana,F,Forb or Herb
2748004,202715,Fernandoa ferdinandi,TL,Tree - large
2748094,202716,Stereospermum zenkeri,TS,Tree - small
2748165,202717,Lobelia gilletii,F,Forb or Herb
2748340,202719,Polycarpaea rheophytica,SS,Shrub - small
2748486,202721,Elaeodendron kamerunense,TS,Tree - small
2748486,202721,Elaeodendron kamerunense,SL,Shrub - large
2748562,202722,Loeseneriella camerunica,V,Vines
2748638,202723,Pleurostylia serrulata,SL,Shrub - large
2748706,202724,Pristimera biholongii,V,Vines
2748792,202725,Pristimera breteleri,V,Vines
2748878,202726,Salacia conraui,V,Vines
2748943,202727,Salacia dimidia,SS,Shrub - small
2749031,202728,Salacia lebrunii,V,Vines
2749125,202729,Salacia lenticellosa,V,Vines
2749125,202729,Salacia lenticellosa,SL,Shrub - large
2749213,202730,Salacia letouzeyana,V,Vines
2749304,202731,Salacia lucida,V,Vines
2749381,202732,Salacia talbotii,V,Vines
2749461,202733,Salacia volubilis,V,Vines
2749557,202734,Simirestis staudtii,V,Vines
2749635,202735,Thyrsosalacia pararacemosa,V,Vines
2749635,202735,Thyrsosalacia pararacemosa,SS,Shrub - small
2749717,202736,Thyrsosalacia racemosa,V,Vines
2749867,202739,Magnistipula multinervia,TL,Tree - large
2749929,202740,Maranthes sanagensis,TS,Tree - small
2750001,202741,Dichapetalum korupinum,V,Vines
2750063,202742,Dichapetalum letouzeyi,V,Vines
2750123,202743,Dichapetalum oliganthum,V,Vines
2750123,202743,Dichapetalum oliganthum,SS,Shrub - small
2750213,202744,Dichapetalum potamophilum,V,Vines
2750291,202745,Dichapetalum reticulatum,V,Vines
2750382,202746,Dichapetalum witianum,V,Vines
2750463,202747,Tapura tchoutoi,TS,Tree - small
2750463,202747,Tapura tchoutoi,SL,Shrub - large
2750536,202748,Diospyros korupensis,TL,Tree - large
2750608,202749,Baphia breteleriana,TS,Tree - small
2750767,202752,Dalbergia ealaensis,V,Vines
2751281,202758,Leptoderris aurantiaca,V,Vines
2751391,202759,Leptoderris ledermannii,V,Vines
2751473,202760,Leptoderris macrothyrsa,V,Vines
2751548,202761,Millettia coruscans,TS,Tree - small
2751640,202762,Millettia hypolampra,V,Vines
2751743,202763,Millettia pilosa,V,Vines
2751743,202763,Millettia pilosa,SL,Shrub - large
2751833,202764,Ostryocarpus zenkerianus,SS,Shrub - small
2751909,202765,Platysepalum scaberulum,V,Vines
2751978,202766,Pterocarpus zenkeri,TL,Tree - large
2752129,202768,Rhynchosia ledermannii,V,Vines
2752282,202770,Amphiblemma lanceatum,F,Forb or Herb
2752360,202771,Amphiblemma letouzeyi,F,Forb or Herb
2752427,202772,Amphiblemma monticola,F,Forb or Herb
2752503,202773,Amphiblemma soyauxii,F,Forb or Herb
2752660,202775,Calvoa calliantha,F,Forb or Herb
2752734,202776,Calvoa stenophylla,SS,Shrub - small
2752808,202777,Cincinnobotrys letouzeyi,GE,Geophyte
2752874,202778,Dissotis bambutorum,SS,Shrub - small
2753146,202781,Memecylon alipes,TL,Tree - large
2753146,202781,Memecylon alipes,SL,Shrub - large
2753235,202782,Memecylon amshoffiae,SL,Shrub - large
2753235,202782,Memecylon amshoffiae,TS,Tree - small
2753308,202783,Memecylon bakossiense,SL,Shrub - large
2753308,202783,Memecylon bakossiense,TS,Tree - small
2754177,202794,Warneckea austro-occidentalis,TS,Tree - small
2754266,202795,Warneckea mangrovensis,TS,Tree - small
2754266,202795,Warneckea mangrovensis,SL,Shrub - large
2754357,202796,Warneckea ngutiensis,SL,Shrub - large
2754428,202797,Albertisia capituliflora,V,Vines
2754516,202798,Albertisia glabra,V,Vines
2754671,202802,Sarcolophium suberosum,V,Vines
2755884,202818,Pierrina zenkeri,SL,Shrub - large
2755966,202819,Rhaptopetalum breteleri,SL,Shrub - large
2756036,202820,Rhaptopetalum depressum,TS,Tree - small
2756036,202820,Rhaptopetalum depressum,SL,Shrub - large
2756109,202821,Rhaptopetalum sessilifolium,SL,Shrub - large
2764433,203372,Isonema bucholzii,V,Vines
2764433,203372,Isonema bucholzii,SL,Shrub - large
2771321,203776,Hunteria hexaloba,SL,Shrub - large
2771328,203777,Simirestis klaineana,V,Vines
2771335,203778,Aristogeitonia gabonica,TS,Tree - small
2771349,203780,Chlamydocarya soyauxii,V,Vines
2771392,203783,Gaertnera spicata,TS,Tree - small
2771434,203789,Uapaca niangadoumae,TL,Tree - large
2793432,30438,Dactyladenia cinerea,SL,Shrub - large
2793432,30438,Dactyladenia cinerea,TS,Tree - small
2793513,30444,Warneckea wildeana,TS,Tree - small
2828337,32947,Delonix regia,TL,Tree - large
2835242,33217,Juniperus procera,TL,Tree - large
2839464,33967,Lovoa swynnertonii,TL,Tree - large
2854685,34776,Baphia dewildeana,TS,Tree - small
2854764,34777,Baphia latiloi,TS,Tree - small
2854841,34778,Baphia obanensis,TS,Tree - small
2854924,34779,Millettia conraui,SL,Shrub - large
2854924,34779,Millettia conraui,TS,Tree - small
2855003,34780,Millettia macrophylla,TS,Tree - small
2855003,34780,Millettia macrophylla,SL,Shrub - large
2865844,36443,Jollydora pierrei,SL,Shrub - large
2867272,37818,Dactyladenia laevis,TS,Tree - small
2926851,39468,Afrofittonia silvestris,F,Forb or Herb
2926941,39469,Isoglossa nervosa,F,Forb or Herb
2927020,39470,Sclerochiton preussii,SS,Shrub - small
2927093,39471,Achyranthes talbotii,F,Forb or Herb
2927181,39475,Boutiquea platypetala,SL,Shrub - large
2927181,39475,Boutiquea platypetala,TS,Tree - small
2927277,39478,Neoschumannia kamerunensis,V,Vines
2927763,39500,Impatiens grandisepala,E,Epiphyte
2927828,39501,Impatiens etindensis,E,Epiphyte
2927906,39502,Begonia oxyanthera,F,Forb or Herb
2927906,39502,Begonia oxyanthera,E,Epiphyte
2927990,39503,Begonia preussii,E,Epiphyte
2927990,39503,Begonia preussii,F,Forb or Herb
2928168,39505,Lobelia columnaris,F,Forb or Herb
2928325,39508,Salacia fimbrisepala,V,Vines
2928409,39509,Magnistipula cuneatifolia,TL,Tree - large
2928487,39510,Dactyladenia mannii,SL,Shrub - large
2928487,39510,Dactyladenia mannii,TS,Tree - small
2928662,39525,Ormocarpum klainei,SS,Shrub - small
2931608,39728,Begonia schaeferi,F,Forb or Herb
2931608,39728,Begonia schaeferi,L,Lithophyte
2980222,42437,Afrocarpus dawei,TL,Tree - large
2980350,42439,Afrocarpus gracilior,TL,Tree - large
2984512,42520,Podocarpus milanjianus,TL,Tree - large
3000415,45402,Acanthopale decempedalis,SL,Shrub - large
3000523,45403,Asystasia glandulifera,F,Forb or Herb
