internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
137161,Eodrepanus fastiditus,"Drepanocerus fastiditus Péringuey, 1901",Drepanocerus,fastiditus,"Péringuey, 1901",,
137186,Onthophagus pugionatus,Onthophagus latefulvus d'Orbigny 1902,Onthophagus,latefulvus,d'Orbigny 1902,,
137186,Onthophagus pugionatus,Onthophagus rufus d'Orbigny1905,Onthophagus,rufus,d'Orbigny1905,,
137186,Onthophagus pugionatus,Onthophagus quadraticornis d'Orbigny 1905,Onthophagus,quadraticornis,d'Orbigny 1905,,
137186,Onthophagus pugionatus,Onthophagus rufaticollis d'Orbigny 1904,Onthophagus,rufaticollis,d'Orbigny 1904,,
137186,Onthophagus pugionatus,"Onthophagus caucanus Balthasar, 1939",Onthophagus,caucanus,"Balthasar, 1939",,
137323,Copris amabilis,"Copris amabile Ferreira, 1959",Copris,amabile,"Ferreira, 1959",,
137459,Onitis nemoralis,Onitis sylvanus Gillet,Onitis,sylvanus,Gillet,,
137564,Copris wiesei,"Copris schoutedeni Boucomont, 1928",Copris,schoutedeni,"Boucomont, 1928",,
137834,Garreta azureus,"Gymnopleurus azureus Fabricius, 1801",Gymnopleurus,azureus,"Fabricius, 1801",,
137834,Garreta azureus,"Gymnopleurus olivaceus Quedenfeldt, 1884",Gymnopleurus,olivaceus,"Quedenfeldt, 1884",,
137834,Garreta azureus,"Gymnopleurus cupreovirens Kolbe, 1895",Gymnopleurus,cupreovirens,"Kolbe, 1895",,
137834,Garreta azureus,"Gymnopleurus viridimicans  Kolbe, 1897",Gymnopleurus,viridimicans ,"Kolbe, 1897",,
137834,Garreta azureus,"Gymnopleurus insidiosus Péringuey, 1901",Gymnopleurus,insidiosus,"Péringuey, 1901",,
137834,Garreta azureus,"Gymnopleurus  ebenus Janssens, 1938",Gymnopleurus ,ebenus,"Janssens, 1938",,
137834,Garreta azureus,"Gymnopleurus rubrocupreus Janssens, 1938",Gymnopleurus,rubrocupreus,"Janssens, 1938",,
138325,Onitis adelphus,Onitis seydeli Boucomont 1930,Onitis,seydeli,Boucomont 1930,,
138406,Diastellopalpus infernalis,"Onthophagus infernalis Lansberge, 1887",Onthophagus,infernalis,"Lansberge, 1887",,
138406,Diastellopalpus infernalis,"Onthophagus nyassicus  Kolbe, 1901",Onthophagus,nyassicus ,"Kolbe, 1901",,
138406,Diastellopalpus infernalis,"Diastellopalpus tridepressus d'Orbigny, 1902",Diastellopalpus,tridepressus,"d'Orbigny, 1902",,
138406,Diastellopalpus infernalis,"Diastellopalpus orbignyi Péringuey, 1904",Diastellopalpus,orbignyi,"Péringuey, 1904",,
162346,Aldrovanda vesiculosa,Aldrovanda verticillata Roxb.,Aldrovanda,verticillata,Roxb.,,
162346,Aldrovanda vesiculosa,Aldrovanda generalis E.H.L. Krause,Aldrovanda,generalis,E.H.L. Krause,,
162346,Aldrovanda vesiculosa,Drosera Aldrovanda F. Muell. [Illegitimate],Drosera,Aldrovanda,F. Muell. [Illegitimate],,
163440,Pelusios niger,"Sternothaerus oxyrhinus Boulenger, 1897",Sternothaerus,oxyrhinus,"Boulenger, 1897",,
163440,Pelusios niger,"Sternothaerus heinrothi Kanberg, 1924",Sternothaerus,heinrothi,"Kanberg, 1924",,
163440,Pelusios niger,"Sternotherus niger Duméril & Bibron, 1835",Sternotherus,niger,"Duméril & Bibron, 1835",,
163448,Cycloderma aubryi,"Cryptopodus aubryi Duméril, 1856",Cryptopodus,aubryi,"Duméril, 1856",,
163448,Cycloderma aubryi,"Cryptopus aubryi (Duméril, 1856)",Cryptopus,aubryi,"(Duméril, 1856)",,
163448,Cycloderma aubryi,"Heptathyra aubryi (Duméril, 1856)",Heptathyra,aubryi,"(Duméril, 1856)",,
164022,Leersia hexandra,Oryza  australis A.Braun. ex Schweinf.,Oryza ,australis,A.Braun. ex Schweinf.,,
164022,Leersia hexandra,Oryza hexandra (Sw.) Döll,Oryza,hexandra,(Sw.) Döll,,
164022,Leersia hexandra,Leersia mauritanica Salzm. ex Trin.,Leersia,mauritanica,Salzm. ex Trin.,,
164272,Brachiaria mutica,Panicum muticum Forssk.,Panicum,muticum,Forssk.,,
164272,Brachiaria mutica,Brachiaria numidiana (Lam.) Henrard,Brachiaria,numidiana,(Lam.) Henrard,,
164272,Brachiaria mutica,Panicum purpuracens Raddi,Panicum,purpuracens,Raddi,,
164272,Brachiaria mutica,Panicum numidianum Lam.,Panicum,numidianum,Lam.,,
